[39.2037144, -76.86104619999999]
[33.442702, -116.8651224]
[42.5584283, -70.880049]
[41.2960159, -72.38453009999999]
[34.433237, -117.6467917]
[43.443107, -85.2515482]
[41.801141, -88.0747875]
[34.1083449, -117.2897652]
[30.2265949, -93.2173758]
[34.9203946, -82.2962268]
[31.8423472, -102.498757]
[34.6035669, -98.39592909999999]
[31.5790588, -90.4406506]
[34.1650972, -84.7999382]
[26.1420358, -81.7948103]
[33.7205771, -116.2155619]
[36.6149217, -121.822098]
[31.5279399, -87.32470769999999]
[25.7616798, -80.1917902]
[39.9611755, -82.99879419999999]
[36.1699412, -115.1398296]
[41.4047742, -81.7229086]
[47.6768927, -122.2059833]
[37.7749295, -122.4194155]
[29.7604267, -95.3698028]
[29.7604267, -95.3698028]
[34.0452883, -117.9436749]
[34.0142667, -83.6986568]
[33.4956744, -88.4272627]
[37.63909719999999, -120.9968782]
[39.9625984, -76.727745]
[26.8233946, -80.13865469999999]
[36.7468422, -119.7725868]
[34.0522342, -118.2436849]
[38.2526647, -85.7584557]
[32.715738, -117.1610838]
[33.1284047, -107.2528069]
[30.35825059999999, -90.06563109999999]
[41.9778795, -91.6656232]
[32.6789476, -115.4988834]
[36.3510616, -119.4201204]
[42.8694731, -85.64474919999999]
[32.5251516, -93.7501789]
[38.617127, -121.3282843]
[37.2726002, -82.8823826]
[41.7475933, -74.0868095]
[34.0158479, -117.3333772]
[26.5628537, -81.9495331]
[33.7805388, -116.4668036]
[39.9403453, -82.0131924]
[42.5775187, -88.1050853]
[60.0858486, -151.382264]
[34.5092562, -84.5049279]
[39.41426879999999, -77.4105409]
[38.9071923, -77.0368707]
[27.950575, -82.4571776]
[32.0835407, -81.09983419999999]
[32.70003, -117.2466838]
[34.0701074, -88.391154]
[30.3321838, -81.65565099999999]
[44.9428975, -123.0350963]
[39.9611755, -82.99879419999999]
[35.5478513, -87.5519628]
[29.7604267, -95.3698028]
[29.601657, -82.9819282]
[36.7903399, -85.3705186]
[32.76679550000001, -96.5991593]
[29.7604267, -95.3698028]
[35.8709403, -95.163454]
[38.8338816, -104.8213634]
[32.6454116, -85.3782795]
[44.89254830000001, -94.3692926]
[40.8020712, -124.1636729]
[44.7298876, -116.4381985]
[38.9071923, -77.0368707]
[31.1279652, -92.0662356]
[37.2089572, -93.29229889999999]
[29.7604267, -95.3698028]
[37.3021632, -120.4829677]
[32.8024577, -117.2355851]
[39.629526, -79.95589679999999]
[36.4142357, -96.3952963]
[38.538664, -90.33511639999999]
[32.9810059, -80.03258670000001]
[45.5230622, -122.6764815]
[36.1699412, -115.1398296]
[34.9682097, -80.0767266]
[34.9495672, -81.9320482]
[27.5305671, -99.48032409999999]
[38.7023371, -80.7214417]
[37.3382082, -121.8863286]
[34.0522342, -118.2436849]
[38.8338816, -104.8213634]
[39.7284944, -121.8374777]
[39.9852617, -104.8205283]
[45.21663239999999, -112.6389244]
[35.0853336, -106.6055534]
[37.7749295, -122.4194155]
[33.5604168, -81.7195533]
[39.2903848, -76.6121893]
[37.36883, -122.0363496]
[35.9969735, -88.86469799999999]
[33.9971974, -117.4854802]
[32.173813, -81.3906678]
[33.9971974, -117.4854802]
[37.8043637, -122.2711137]
[35.1679395, -78.97280560000002]
[40.028521, -75.1749671]
[44.977753, -93.2650108]
[31.2152685, -95.9832577]
[34.8033566, -84.981754]
[32.7592955, -97.7972544]
[25.7616798, -80.1917902]
[33.96570910000001, -81.0739827]
[32.7592955, -97.7972544]
